what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426645543530
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426645562603
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426645566094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426645566634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426645949841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426645956419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426645963769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426646007114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426646010324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646018855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646172453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426646179527
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646213618
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646219537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646257034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646279134
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426646311360
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646312945
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426646313867
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646317488
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646338652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426646340937
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426646343142
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646344677
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426646345373
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646348906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646357693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646393639
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646395969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646403026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646410558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426646422468
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426646424377
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646426100
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426646426799
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646430413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646504958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646656081
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646671249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426646677958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426646684039
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426646688962
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646690593
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426646691299
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646694907
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646710983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646714736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646721294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646723576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646725798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646728304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646733083
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646734643
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646736692
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646744742
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646750027
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426646758142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646760998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646874053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646904910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646908714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426646914441
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426646917101
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646918682
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426646919593
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426646923175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646935557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426646943024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647082629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647106870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647116053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647120029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647120946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647170867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647172342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647190576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647204956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647266485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647305655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647494851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647495589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647500833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647543842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647727293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647735679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647761675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647793116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426647809808
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426647846453
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426647864139
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426647961833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426647977325
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426648002472
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426648004049
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426648005006
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426648008350
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648016157
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426648019370
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648034460
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426648040216
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648050715
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426648052920
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648056012
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648071908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648086931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648091431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648094771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648097599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648100947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648106766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648158071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648160259
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648175808
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1426648179534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426648255550
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426648257282
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426648259148
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426648259803
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426648263467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648282074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648296324
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648297784
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426648370910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648395058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648423853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648428848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648431821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648465317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426648466859
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648466869
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426648470468
